,电影名称,信息,评分,评价人数,短评
123,倩女幽魂,导演: 程小东 Siu-Tung Ching 主演: 张国荣 Leslie Cheung / 王祖贤 Joey W... 1987 / 中国香港 / 爱情 奇幻 武侠 古装,8.8,727001人评价,两张绝世的脸。
124,寄生虫,导演: 奉俊昊 Joon-ho Bong 主演: 宋康昊 Kang-ho Song / 李善均 Seon-gyun... 2019 / 韩国 / 剧情,8.8,1349906人评价,
125,侧耳倾听,导演: 近藤喜文 Yoshifumi Kondo 主演: 本名阳子 Youko Honna / 小林桂树 K... 1995 / 日本 / 剧情 爱情 动画,8.9,455460人评价,少女情怀总是诗。
126,时空恋旅人,导演: 理查德·柯蒂斯 Richard Curtis 主演: 多姆纳尔·格里森 Domhnall Gl... 2013 / 英国 / 喜剧 爱情 奇幻,8.8,655278人评价,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
127,小森林 冬春篇,导演: 森淳一 Junichi Mori 主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir... 2015 / 日本 / 剧情,9,375103人评价,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
128,幸福终点站,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 汤姆·汉克斯 Tom Hanks... 2004 / 美国 / 喜剧 剧情 爱情,8.8,561075人评价,有时候幸福需要等一等。
129,驯龙高手,导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders 主演:... 2010 / 美国 / 动画 奇幻 冒险,8.8,745661人评价,和谐的生活离不开摸头与被摸头。
130,教父3,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola 主演: 阿尔·帕西诺 A... 1990 / 美国 / 剧情 犯罪,9,367919人评价,任何信念的力量，都无法改变命运。
131,一个叫欧维的男人决定去死,导演: 汉内斯·赫尔姆 Hannes Holm 主演: 罗夫·拉斯加德 Rolf Lassgård... 2015 / 瑞典 / 剧情,8.9,470087人评价,惠及一生的美丽。
132,未麻的部屋,导演: 今敏 Satoshi Kon 主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu... 1997 / 日本 / 动画 奇幻 惊悚,9.1,325474人评价,好的剧本是，就算你猜到了结局也猜不到全部。
133,萤火之森,导演: 大森贵弘 Takahiro Omori 主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K... 2011 / 日本 / 剧情 爱情 动画 奇幻,8.9,529745人评价,触不到的恋人。
134,怪兽电力公司,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman 主演: 约... 2001 / 美国 / 儿童 喜剧 动画 奇幻 冒险,8.8,658882人评价,不要给它起名字，起了名字就有感情了。
135,哈利·波特与火焰杯,导演: 迈克·内威尔 Mike Newell 主演: 丹尼尔·雷德克里夫 Daniel Radclif... 2005 / 英国 美国 / 悬疑 奇幻 冒险,8.8,646175人评价,
136,玩具总动员3,导演: 李·昂克里奇 Lee Unkrich 主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾... 2010 / 美国 / 喜剧 动画 奇幻 冒险,8.9,506532人评价,跨度十五年的欢乐与泪水。
137,傲慢与偏见,导演: 乔·怀特 Joe Wright 主演: 凯拉·奈特莉 Keira Knightley / 马修·... 2005 / 法国 英国 美国 / 剧情 爱情,8.7,786289人评价,爱是摈弃傲慢与偏见之后的曙光。
138,新世界,导演: 朴勋政 Hoon-jung Park 主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik... 2013 / 韩国 / 剧情 犯罪,8.9,424160人评价,要做就做得狠一点，这样才能活下去。
139,釜山行,导演: 延尚昊 Sang-ho Yeon 主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马... 2016 / 韩国 / 动作 惊悚 灾难,8.6,1181923人评价,揭露人性的丧尸题材力作。
140,神偷奶爸,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud 主演: ... 2010 / 美国 法国 / 喜剧 动画 冒险,8.7,935575人评价,Mr. I Don't Care其实也有Care的时候。
141,被解救的姜戈,导演: 昆汀·塔伦蒂诺 Quentin Tarantino 主演: 杰米·福克斯 Jamie Foxx /... 2012 / 美国 / 剧情 动作 西部 冒险,8.8,600083人评价,热血沸腾，那个低俗、性感的无耻混蛋又来了。
142,玛丽和马克思,导演: 亚当·艾略特 Adam Elliot 主演: 托妮·科莱特 Toni Collette / 菲利... 2009 / 澳大利亚 美国 / 剧情 喜剧 动画,9,418212人评价,你是我最好的朋友，你是我唯一的朋友 。
143,告白,导演: 中岛哲也 Tetsuya Nakashima 主演: 松隆子 Takako Matsu / 冈田将生 ... 2010 / 日本 / 剧情 悬疑,8.8,664434人评价,没有一人完全善，也没有一人完全恶。
144,大鱼,导演: 蒂姆·波顿 Tim Burton 主演: 伊万·麦克格雷格 Ewan McGregor / 阿... 2003 / 美国 / 剧情 家庭 奇幻 冒险,8.8,562030人评价,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。
145,哪吒闹海,导演: 王树忱 Shuchen Wang / 严定宪 Dingxian Yan 主演: 梁正晖 Zhenghui ... 1979 / 中国大陆 / 冒险 动画 奇幻,9.2,255002人评价,想你时你在闹海。
146,射雕英雄传之东成西就,导演: 刘镇伟 Jeffrey Lau 主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri... 1993 / 中国香港 / 喜剧 奇幻 武侠 古装,8.7,628030人评价,百看不厌。
147,头号玩家,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 泰伊·谢里丹 Tye Sheri... 2018 / 美国 / 动作 科幻 冒险,8.7,1349809人评价,写给影迷，动漫迷和游戏迷的一封情书。
148,模仿游戏,导演: 莫滕·泰杜姆 Morten Tyldum 主演: 本尼迪克特·康伯巴奇 Benedict C... 2014 / 英国 美国 / 剧情 传记 战争 同性,8.8,637296人评价,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
149,喜宴,导演: 李安 Ang Lee 主演: 赵文瑄 Winston Chao / 归亚蕾 Ya-lei Kuei / 郎... 1993 / 中国台湾 美国 / 剧情 喜剧 爱情 同性 家庭,9,355912人评价,中国家庭的喜怒哀乐忍。
150,阳光姐妹淘,导演: 姜炯哲 Hyeong-Cheol Kang 主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy... 2011 / 韩国 / 剧情 喜剧,8.8,585040人评价,再多各自牛逼的时光，也比不上一起傻逼的岁月。
151,我是山姆,导演: 杰茜·尼尔森 Jessie Nelson 主演: Sean Penn / Dakota Fanning / Mi... 2001 / 美国 / 剧情 家庭,9,333124人评价,爱并不需要智商 。
152,九品芝麻官,导演: 王晶 Jing Wong 主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng / ... 1994 / 中国香港 中国大陆 / 剧情 喜剧 古装,8.7,664556人评价,
153,茶馆,导演: 谢添 Tian Xie 主演: 于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T... 1982(中国大陆) / 中国大陆 / 剧情 历史,9.6,139141人评价,
154,恐怖直播,导演: 金秉祐 Byeong-woo Kim 主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y... 2013 / 韩国 / 剧情 犯罪 悬疑,8.7,643107人评价,恐怖分子的“秋菊打官司”。
155,花样年华,导演: 王家卫 Kar Wai Wong 主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma... 2000 / 中国香港 / 剧情 爱情,8.7,597086人评价,偷情本没有这样美。
156,血战钢锯岭,导演: 梅尔·吉布森 Mel Gibson 主演: 安德鲁·加菲尔德 Andrew Garfield /... 2016 / 澳大利亚 美国 / 剧情 传记 历史 战争,8.7,774080人评价,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
157,七武士,导演: 黑泽明 Akira Kurosawa 主演: 三船敏郎 Toshirô Mifune / 志村乔 ... 1954 / 日本 / 动作 冒险 剧情,9.3,194737人评价,时代悲歌。
158,色，戒,导演: 李安 Ang Lee 主演: 梁朝伟 Tony Leung Chiu Wai / 汤唯 Wei Tang / ... 2007 / 中国台湾 中国大陆 美国 中国香港 / 剧情 爱情 情色,8.7,790249人评价,假戏真情，爱欲深海
159,头脑特工队,导演: 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen &nb... 2015 / 美国 / 喜剧 动画 冒险,8.8,600995人评价,愿我们都不用长大，每一座城堡都能永远存在。
160,惊魂记,导演: 阿尔弗雷德·希区柯克 Alfred Hitchcock 主演: 安东尼·博金斯 Antho... 1960 / 美国 / 悬疑 惊悚 恐怖,9,287250人评价,故事的反转与反转，分裂电影的始祖。
161,黑客帝国3：矩阵革命,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski ... 2003 / 美国 / 动作 科幻,8.8,440901人评价,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
162,你的名字。,导演: 新海诚 Makoto Shinkai 主演: 神木隆之介 Ryûnosuke Kamiki / 上... 2016 / 日本 / 剧情 爱情 动画,8.5,1387239人评价,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
163,电锯惊魂,导演: 詹姆斯·温 James Wan 主演: 雷·沃纳尔 Leigh Whannell / 加利·艾... 2004 / 美国 / 悬疑 惊悚 恐怖,8.8,523746人评价,真相就在眼前。
164,三块广告牌,导演: 马丁·麦克唐纳 Martin McDonagh 主演: 弗兰西斯·麦克多蒙德 France... 2017 / 英国 美国 / 剧情 犯罪,8.7,810376人评价,怼天怼地，你走后，她与世界为敌。
165,达拉斯买家俱乐部,导演: 让-马克·瓦雷 Jean-Marc Vallée 主演: 马修·麦康纳 Matthew McCon... 2013 / 美国 / 剧情 传记 同性,8.8,446362人评价,Jared Leto的腿比女人还美！
166,疯狂原始人,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders 主演... 2013 / 美国 / 喜剧 动画 冒险,8.7,827576人评价,老少皆宜，这就是好莱坞动画的魅力。
167,心迷宫,导演: 忻钰坤 Yukun Xin 主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ... 2014 / 中国大陆 / 剧情 犯罪 悬疑,8.7,512313人评价,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
168,谍影重重3,导演: 保罗·格林格拉斯 Paul Greengrass 主演: 马特·达蒙 Matt Damon / ... 2007 / 美国 德国 法国 英国 / 动作 悬疑 惊悚,8.8,412163人评价,像吃了苏打饼一样干脆的电影。
169,上帝之城,导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund &nbsp... 2002 / 巴西 法国 / 犯罪 剧情,9,298058人评价,被上帝抛弃了的上帝之城。
170,英雄本色,导演: 吴宇森 John Woo 主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国... 1986 / 中国香港 / 剧情 动作 犯罪,8.6,531706人评价,英雄泪短，兄弟情长。
171,卢旺达饭店,导演: 特瑞·乔治 Terry George 主演: 唐·钱德尔 Don Cheadle / 苏菲·奥... 2004 / 英国 南非 意大利 美国 / 剧情 传记 历史 战争,8.9,325205人评价,当这个世界闭上双眼，他却敞开了怀抱。
172,纵横四海,导演: 吴宇森 John Woo 主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung... 1991 / 中国香港 / 剧情 喜剧 动作 犯罪,8.8,418864人评价,香港浪漫主义警匪动作片的巅峰之作。
173,风之谷,导演: 宫崎骏 Hayao Miyazaki 主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y... 1984 / 日本 / 动画 奇幻 冒险,8.9,349940人评价,动画片的圣经。
174,海街日记,导演: 是枝裕和 Hirokazu Koreeda 主演: 绫濑遥 Haruka Ayase / 长泽雅美 M... 2015 / 日本 / 剧情 家庭,8.8,440906人评价,是枝裕和的家庭习作。
175,爱在午夜降临前,导演: 理查德·林克莱特 Richard Linklater 主演: 伊桑·霍克 Ethan Hawke ... 2013 / 美国 希腊 / 剧情 爱情,8.9,394735人评价,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
176,绿里奇迹,导演: 弗兰克·德拉邦特 Frank Darabont 主演: 汤姆·汉克斯 Tom Hanks / ... 1999 / 美国 / 犯罪 剧情 奇幻 悬疑,8.9,323874人评价,天使暂时离开。
177,记忆碎片,导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 盖·皮尔斯 Guy Pearce /... 2000 / 美国 / 犯罪 剧情 悬疑 惊悚,8.7,592666人评价,一个针管引发的血案。
178,岁月神偷,导演: 罗启锐 Alex Law 主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍... 2010 / 中国香港 中国大陆 / 剧情 家庭,8.7,568980人评价,岁月流逝，来日可追。
179,忠犬八公物语,导演: 神山征二郎 Seijirô Kôyama 主演: 仲代达矢 Tatsuya Nakadai /... 1987 / 日本 / 剧情,9.2,192899人评价,养狗三日，便会对你终其一生。
180,荒蛮故事,导演: 达米安·斯兹弗隆 Damián Szifron 主演: 达里奥·葛兰帝内提 Darío... 2014 / 阿根廷 西班牙 / 剧情 喜剧 犯罪,8.8,437369人评价,始于荒诞，止于更荒诞。
181,疯狂的石头,导演: 宁浩 Hao Ning 主演: 郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin 2006 / 中国大陆 中国香港 / 喜剧 犯罪,8.6,808267人评价,中国版《两杆大烟枪》。
182,雨中曲,导演: 斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly 主演: 吉恩·... 1952 / 美国 / 喜剧 歌舞 爱情,9.1,220855人评价,骨灰级歌舞片。
183,小偷家族,导演: 是枝裕和 Hirokazu Koreeda 主演: 中川雅也 Lily Franky / 安藤樱 Sa... 2018 / 日本 / 剧情 犯罪 家庭,8.7,802975人评价,我们组成了家。
184,爆裂鼓手,导演: 达米恩·查泽雷 Damien Chazelle 主演: 迈尔斯·特勒 Miles Teller /... 2014 / 美国 / 剧情 音乐,8.7,579460人评价,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
185,2001太空漫游,导演: 斯坦利·库布里克 Stanley Kubrick 主演: 凯尔·杜拉 Keir Dullea / ... 1968 / 英国 美国 / 科幻 惊悚 冒险,8.9,320955人评价,现代科幻电影的开山之作，最伟大导演的最伟大影片。
186,无敌破坏王,导演: 瑞奇·莫尔 Rich Moore 主演: 约翰·C·赖利 John C. Reilly / 萨拉... 2012 / 美国 / 喜剧 动画 奇幻 冒险,8.7,528919人评价,迪士尼和皮克斯拿错剧本的产物。
187,小丑,导演: 托德·菲利普斯 Todd Phillips 主演: 杰昆·菲尼克斯 Joaquin Phoeni... 2019 / 美国 加拿大 / 剧情 犯罪 惊悚,8.7,990406人评价,
188,背靠背，脸对脸,导演: 黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang 主演: 牛振华 Zhenhua N... 1994 / 中国大陆 中国香港 / 剧情,9.5,128685人评价,
189,无间道2,导演: 刘伟强 / 麦兆辉 主演: 陈冠希 Edison Chen / 余文乐 Shawn Yue / 曾... 2003 / 中国香港 / 剧情 犯罪 惊悚,8.7,469157人评价,
190,贫民窟的百万富翁,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan 主演: 戴夫... 2008 / 英国 / 剧情 爱情,8.6,736626人评价,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
191,冰川时代,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge 主演... 2002 / 美国 / 喜剧 动画 冒险,8.6,604071人评价,松鼠才是角儿。
192,东邪西毒,导演: 王家卫 Kar Wai Wong 主演: 张国荣 Leslie Cheung / 林青霞 Brigitte... 1994 / 中国香港 中国台湾 / 剧情 动作 爱情 武侠 古装,8.6,569732人评价,电影诗。
193,恐怖游轮,导演: 克里斯托弗·史密斯 Christopher Smith 主演: 梅利莎·乔治 Melissa ... 2009 / 英国 澳大利亚 / 剧情 悬疑 惊悚,8.5,847304人评价,不要企图在重复中寻找已经失去的爱。
194,心灵奇旅,导演: 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers 主演: 杰米·... 2020 / 美国 / 动画 奇幻 音乐,8.7,961301人评价,
195,牯岭街少年杀人事件,导演: 杨德昌 Edward Yang 主演: 张震 Chen Chang / 杨静怡 Lisa Yang / 张... 1991 / 中国台湾 / 剧情 犯罪,8.9,293607人评价,弱者送给弱者的一刀。
196,真爱至上,导演: 理查德·柯蒂斯 Richard Curtis 主演: 休·格兰特 Hugh Grant / 柯林... 2003 / 英国 美国 法国 / 喜剧 剧情 爱情,8.6,724399人评价,爱，是个动词。
197,遗愿清单,导演: 罗伯·莱纳 Rob Reiner 主演: 杰克·尼科尔森 Jack Nicholson / 摩根... 2007 / 美国 / 冒险 喜剧 剧情,8.7,452376人评价,用剩余不多的时间，去燃烧整个生命。
198,你看起来好像很好吃,导演: 藤森雅也 Masaya Fujimori 主演: 山口胜平 Kappei Yamaguchi / 爱河... 2010 / 日本 / 剧情 动画 儿童,8.9,328624人评价,感情不分食草或者食肉。
199,魔女宅急便,导演: 宫崎骏 Hayao Miyazaki 主演: 高山南 Minami Takayama / 佐久间玲 Re... 1989 / 日本 / 动画 奇幻 冒险,8.7,452107人评价,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
200,东京教父,导演: 今敏 Satoshi Kon 主演: 江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume... 2003 / 日本 / 剧情 喜剧 动画,9,224424人评价,
201,大佛普拉斯,导演: 黄信尧 Hsin-yao Huang 主演: 庄益增 Yizeng Zhuang / 陈竹昇 Chu-sh... 2017 / 中国台湾 / 剧情 喜剧,8.7,446440人评价,人们可以登上月球，却永远无法探索人们内心的宇宙。
202,黑天鹅,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky 主演: 娜塔莉·波特曼 Natalie... 2010 / 美国 / 剧情 惊悚,8.6,771488人评价,黑暗之美。
203,可可西里,导演: 陆川 Chuan Lu 主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L... 2004 / 中国大陆 中国香港 / 剧情 犯罪,8.9,298934人评价,坚硬的信仰。
204,城市之光,导演: Charles Chaplin 主演: 查理·卓别林 Charles Chaplin / 弗吉尼亚·... 1931 / 美国 / 喜剧 剧情 爱情,9.3,143486人评价,永远的小人物，伟大的卓别林。
205,源代码,导演: 邓肯·琼斯 Duncan Jones 主演: 杰克·吉伦哈尔 Jake Gyllenhaal / ... 2011 / 美国 加拿大 / 科幻 悬疑 惊悚,8.5,823664人评价,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
206,雨人,导演: 巴瑞·莱文森 Barry Levinson 主演: 达斯汀·霍夫曼 Dustin Hoffman ... 1988 / 美国 / 剧情,8.7,398597人评价,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
207,恋恋笔记本,导演: 尼克·卡索维茨 Nick Cassavetes 主演: 瑞恩·高斯林 Ryan Gosling /... 2004 / 美国 / 剧情 爱情,8.5,660613人评价,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
208,海边的曼彻斯特,导演: 肯尼斯·罗纳根 Kenneth Lonergan 主演: 卡西·阿弗莱克 Casey Affle... 2016 / 美国 / 剧情 家庭,8.6,525941人评价,我们都有权利不与自己的过去和解。
209,初恋这件小事,导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭... 2010 / 泰国 / 剧情 喜剧 爱情,8.5,970657人评价,黑小鸭速效美白记。
210,人工智能,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 海利·乔·奥斯蒙 Haley... 2001 / 美国 英国 / 剧情 科幻,8.7,438801人评价,对爱的执着，可以超越一切。
211,虎口脱险,导演: 杰拉尔·乌里 Gérard Oury 主演: 路易·德·菲耐斯 Louis de Funès... 1966 / 法国 英国 / 喜剧 战争,8.9,252701人评价,永远看不腻的喜剧。
212,波西米亚狂想曲,导演: 布莱恩·辛格 Bryan Singer 主演: 拉米·马雷克 Rami Malek / 本·哈... 2018 / 英国 美国 / 剧情 传记 同性 音乐,8.6,594328人评价,
213,青蛇,导演: 徐克 Hark Tsui 主演: 张曼玉 Maggie Cheung / 王祖贤 Joey Wang / ... 1993 / 中国香港 中国大陆 / 剧情 爱情 奇幻 古装,8.6,517414人评价,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
214,终结者2：审判日,导演: 詹姆斯·卡梅隆 James Cameron 主演: 阿诺·施瓦辛格 Arnold Schwarz... 1991 / 美国 法国 / 动作 科幻,8.8,337087人评价,少见的超越首部的续集，动作片中的经典。
215,罗生门,导演: 黑泽明 Akira Kurosawa 主演: 三船敏郎 Toshirô Mifune / 京町子 ... 1950 / 日本 / 剧情 犯罪 悬疑,8.8,309428人评价,人生的N种可能性。
216,萤火虫之墓,导演: 高畑勋 Isao Takahata 主演: 辰己努 / 白石绫乃 / 志乃原良子 1988 / 日本 / 动画 剧情 战争,8.7,400713人评价,幸福是生生不息，却难以触及的远。
217,疯狂的麦克斯4：狂暴之路,导演: 乔治·米勒 George Miller 主演: 汤姆·哈迪 Tom Hardy / 查理兹·塞... 2015 / 澳大利亚 美国 / 动作 科幻 冒险,8.7,520455人评价,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~
218,新龙门客栈,导演: 李惠民 Raymond Lee 主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ... 1992 / 中国香港 中国大陆 / 动作 爱情 武侠 古装,8.7,436998人评价,嬉笑怒骂，调风动月。
219,千钧一发,导演: 安德鲁·尼科尔 Andrew Niccol 主演: 伊桑·霍克 Ethan Hawke / 乌玛... 1997 / 美国 / 剧情 科幻 惊悚,8.8,292225人评价,一部能引人思考的科幻励志片。
220,无耻混蛋,导演: 昆汀·塔伦蒂诺 Quentin Tarantino 主演: 布拉德·皮特 Brad Pitt / ... 2009 / 德国 美国 / 剧情 犯罪,8.6,468876人评价,昆汀同学越来越变态了，比北野武还杜琪峰。
221,崖上的波妞,导演: 宫崎骏 Hayao Miyazaki 主演: 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir... 2008 / 日本 / 动画 奇幻 冒险,8.6,486534人评价,
222,奇迹男孩,导演: 斯蒂芬·卓博斯基 Stephen Chbosky 主演: 雅各布·特伦布莱 Jacob Tr... 2017 / 美国 中国香港 / 剧情 儿童 家庭,8.6,545274人评价,世界不完美，爱会有奇迹。
223,末路狂花,导演: 雷德利·斯科特 Ridley Scott 主演: 吉娜·戴维斯 Geena Davis / 苏... 1991 / 美国 英国 法国 / 犯罪 剧情 惊悚,8.9,247422人评价,没有了退路，只好飞向自由。
224,二十二,导演: 郭柯 Ke Guo 主演: 2015 / 中国大陆 / 纪录片,8.7,288520人评价,有一些东西不应该被遗忘。
225,彗星来的那一夜,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit 主演: 艾米丽·芭尔多尼 Em... 2013 / 美国 英国 / 科幻 悬疑 惊悚,8.6,568126人评价,小成本大魅力。
226,黑客帝国2：重装上阵,导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski ... 2003 / 美国 / 动作 科幻,8.7,400438人评价,一个精彩的世界观正在缓缓建立。
227,花束般的恋爱,导演: 土井裕泰 Nobuhiro Doi 主演: 菅田将晖 Masaki Suda / 有村架纯 Kasu... 2021 / 日本 / 剧情 爱情,8.6,600447人评价,
228,爱乐之城,导演: 达米恩·查泽雷 Damien Chazelle 主演: 瑞恩·高斯林 Ryan Gosling /... 2016 / 美国 / 剧情 爱情 歌舞,8.4,879292人评价,
229,血钻,导演: 爱德华·兹威克 Edward Zwick 主演: 莱昂纳多·迪卡普里奥 Leonardo ... 2006 / 美国 德国 英国 / 剧情 惊悚 冒险,8.7,374417人评价,每个美丽事物背后都是滴血的现实。
230,房间,导演: 伦尼·阿伯拉罕森 Lenny Abrahamson 主演: 布丽·拉尔森 Brie Larson... 2015 / 爱尔兰 加拿大 英国 美国 / 剧情 家庭,8.8,364366人评价,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
231,战争之王,导演: 安德鲁·尼科尔 Andrew Niccol 主演: 尼古拉斯·凯奇 Nicolas Cage /... 2005 / 法国 德国 美国 / 剧情 犯罪,8.7,362806人评价,做一颗让别人需要你的棋子。
232,步履不停,导演: 是枝裕和 Hirokazu Koreeda 主演: 阿部宽 Hiroshi Abe / 夏川结衣 Yu... 2008 / 日本 / 剧情 家庭,8.8,275126人评价,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。
233,魂断蓝桥,导演: 茂文·勒鲁瓦 Mervyn LeRoy 主演: 费雯·丽 Vivien Leigh / 罗伯特·... 1940 / 美国 / 剧情 爱情 战争,8.8,274360人评价,中国式内在的美国电影。
234,火星救援,导演: 雷德利·斯科特 Ridley Scott 主演: 马特·达蒙 Matt Damon / 杰西卡... 2015 / 英国 美国 匈牙利 约旦 / 剧情 科幻 冒险,8.5,714818人评价,
235,芙蓉镇,导演: 谢晋 Jin Xie 主演: 刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石... 1987 / 中国大陆 / 剧情 爱情,9.3,131615人评价,
236,哈利·波特与死亡圣器(上),导演: 大卫·叶茨 David Yates 主演: 丹尼尔·雷德克里夫 Daniel Radcliffe... 2010 / 英国 美国 / 奇幻 冒险,8.5,561635人评价,最忠于原著的一部。
237,千年女优,导演: 今敏 Satoshi Kon 主演: 庄司美代子 Miyoko Shôji / 小山茉美 Mam... 2001 / 日本 / 动画 剧情 爱情,8.8,261464人评价,爱情是一场没有尽头的虚幻追逐。
238,谍影重重2,导演: 保罗·格林格拉斯 Paul Greengrass 主演: 马特·达蒙 Matt Damon / ... 2004 / 美国 德国 / 动作 悬疑 惊悚,8.7,346799人评价,谁说王家卫镜头很晃？
239,阿飞正传,导演: 王家卫 Kar Wai Wong 主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C... 1990 / 中国香港 / 犯罪 剧情 爱情,8.5,503834人评价,王家卫是一种风格，张国荣是一个代表。
240,燃情岁月,导演: 爱德华·兹威克 Edward Zwick 主演: 布拉德·皮特 Brad Pitt / 安东... 1994 / 美国 / 剧情 爱情 战争 西部,8.8,282566人评价,传奇，不是每个人都可以拥有。
241,弱点,导演: 约翰·李·汉考克 John Lee Hancock 主演: 桑德拉·布洛克 Sandra Bu... 2009 / 美国 / 剧情 家庭 传记 运动,8.7,301784人评价,拍掉身上的悲伤，从今天开始重新踏上追梦之旅。
242,谍影重重,导演: 道格·里曼 Doug Liman 主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦... 2002 / 美国 德国 捷克 / 动作 悬疑 惊悚,8.6,419011人评价,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
243,朗读者,导演: 史蒂芬·戴德利 Stephen Daldry 主演: 凯特·温丝莱特 Kate Winslet ... 2008 / 美国 德国 / 剧情 爱情,8.6,449023人评价,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。
244,再次出发之纽约遇见你,导演: 约翰·卡尼 John Carney 主演: 凯拉·奈特莉 Keira Knightley / 马克... 2013 / 美国 / 喜剧 爱情 音乐,8.6,421487人评价,爱我就给我看你的播放列表。
245,哈利·波特与凤凰社,导演: 大卫·叶茨 David Yates 主演: 丹尼尔·雷德克里夫 Daniel Radcliffe... 2007 / 英国 美国 / 奇幻 冒险,8.5,554026人评价,
246,白日梦想家,导演: 本·斯蒂勒 Ben Stiller 主演: 本·斯蒂勒 Ben Stiller / 克里斯汀·... 2013 / 美国 英国 / 剧情 喜剧 冒险,8.6,458853人评价,
